Instruction,Input,Response
Jiboはどのようなタスクを実行できますか？,Jiboは、Jibo Inc.が設計したインタラクティブな家庭用ロボットです。,Jiboは音声コマンドに応答し、情報を提供し、スマートホームデバイスを制御し、表情豊かな動きと音声を通じて家族とインタラクションします。
SpotMiniの特徴を説明してください。,SpotMiniは、Boston Dynamicsが開発した多用途の移動ロボットです。,SpotMiniは複雑な環境をナビゲートし、ロボットアームを使用して物体を操作し、ドアの開閉や物の運搬などのタスクを実行することができ、家庭用および産業用に役立ちます。
Alpha 2の用途は何ですか？,Alpha 2は、UBTECHが開発した家庭用タスク向けのヒューマノイドロボットです。,Alpha 2はスマートホームデバイスの音声制御、教育活動、インタラクティブな会話を通じてのコンパニオン提供などのタスクを支援します。
Baxterの主な機能は何ですか？,Baxterは、Rethink Roboticsが開発した産業用自動化ロボットです。,Baxterは産業用の反復作業を実行するために設計されており、製造環境での訓練の容易さと柔軟性に重点を置いています。
Sophiaを説明してください。,Sophiaは、Hanson Roboticsが開発した社会的ヒューマノイドロボットです。,Sophiaは意味のある会話をし、広範な感情を表現し、インタラクションから学習することができる社会的ヒューマノイドロボットで、公共イベントや研究に頻繁に使用されます。
Ubboの能力は何ですか？,Ubboは、Axyn Robotiqueが開発したテレプレゼンスロボットです。,Ubboはテレプレゼンスのために使用され、ビデオ通話や遠隔操作を通じてリモートインタラクションとコミュニケーションを可能にし、ビジネスやヘルスケアの用途に適しています。
Vectorの目的を説明してください。,Vectorは、Ankiが開発した小型AIコンパニオンロボットです。,Vectorは質問に答え、情報を提供し、音声とタッチを通じてユーザーとインタラクションすることができるAI搭載のコンパニオンで、楽しいインタラクティブな体験を提供します。
Buddyの主な特徴は何ですか？,Buddyは、Blue Frog Roboticsが開発した家庭支援用の社会的ロボットです。,Buddyはホームセキュリティ、スマートホームコントロール、インタラクティブな特徴と表情豊かな動きを通じてのコンパニオン提供などのタスクを支援するように設計されています。
Romeoの進歩を説明してください。,Romeoは、SoftBank Roboticsが開発した高齢者介護用ヒューマノイドロボットです。,Romeoは高齢者の日常生活を支援するために開発されており、物を取ってくることやリマインダーを提供することなどを行い、生活の質と自立性の向上を目指しています。
Lekaの目的は何ですか？,Lekaは、特別支援が必要な子供たちを助けるためにLekaが開発したロボットです。,Lekaは特別な支援が必要な子供たちとインタラクティブな遊びと教育活動を通じて関わり、社会的および認知的スキルの発達を助けます。
iCubの設計を説明してください。,iCubは、IITが開発したオープンソースの研究用ヒューマノイドロボットです。,iCubは人間の認知と人工知能の研究に使用され、物体操作、音声認識、インタラクションからの学習などの機能を備えています。
Pleoはどのようなタスクを実行できますか？,Pleoは、Innvo Labsが開発したコンパニオンロボット恐竜です。,Pleoはコンパニオンロボットとして設計され、環境とインタラクションし、タッチ、音、光に反応することができ、リアルなペット体験を提供します。
Kismetの特徴を説明してください。,Kismetは、MITが開発した感情的相互作用のためのロボットです。,Kismetは人間と感情的に相互作用するように設計され、表情、声のトーン、ボディランゲージを使用して社会的インタラクションに参加し、人間とロボットのコミュニケーションを研究します。
BUDDYの用途は何ですか？,BUDDYは、Blue Frog Roboticsが開発した家庭支援用の社会的ロボットです。,BUDDYは家庭内のタスクを支援し、家の監視、リマインダーの提供、社会的インタラクションに参加し、そのインタラクティブな機能を通じて日常生活を向上させます。
Gitaの主な機能は何ですか？,Gitaは、Piaggio Fast Forwardが開発した荷物運搬用ロボットです。,Gitaは所有者を追いかけ、個人の持ち物を運ぶために設計されており、ショッピングや通勤などの日常の活動に役立ちます。
PepperのAIを説明してください。,PepperのAIは、ソフトバンクロボティクスが開発したもので、人間と社会的に相互作用できます。,PepperのAIは人間の感情を認識し、会話に参加し、店舗での案内や情報提供などのタスクを実行し、社会的な相互作用を向上させます。
AIBO ERS-1000の能力は何ですか？,AIBO ERS-1000は、ソニーが開発した高度なロボットペット犬です。,AIBO ERS-1000は高度なAIとセンサーを備え、顔を認識し、コマンドに応答し、リアルな行動を示し、コンパニオンシップとエンターテイメントを提供します。
LOVOTの目的を説明してください。,LOVOTは、Groove Xが開発した感情的な支援を提供するロボットです。,LOVOTは抱っこされる、所有者についていく、触れられることに反応するなどのインタラクティブな行動を通じて感情的な支援を提供し、ユーザーとの絆を深めます。
Tertillの主な機能は何ですか？,Tertillは、Franklin Roboticsが開発した庭の雑草除去ロボットです。,Tertillは庭の雑草を自動的に除去するように設計されており、センサーと車輪を使用してナビゲートし、不必要な植物を取り除くことで手作業の雑草取りを減らします。
AlphaDogの特徴を説明してください。,AlphaDogは、Weilanが開発した四足歩行ロボットで、コンパニオンや支援を目的としています。,AlphaDogはさまざまな地形をナビゲートし、コンパニオンを提供し、物を運ぶことやセキュリティパトロールを行うなどのタスクを支援する四足歩行ロボットです。
Savioke Relayの能力は何ですか？,Savioke Relayは、ホテルや病院でのアイテム配達を目的としたロボットです。,Savioke Relayは建物内を自律的にナビゲートし、アイテムをゲストや患者に届け、ドッキングステーションに戻ることでサービス環境の効率を向上させます。
ANYmalの設計を説明してください。,ANYmalは、ANYboticsが開発した検査とメンテナンスタスク用の四足歩行ロボットです。,ANYmalは検査とメンテナンスタスクのために設計されており、その四足歩行設計を使用して障害物をナビゲートし、さまざまなセンサーを使用してデータを収集します。
CIMONはどのようなタスクを実行できますか？,CIMONは、AirbusとIBMが開発したISSの宇宙飛行士のためのAIアシスタントです。,CIMONは情報を提供し、タスクを実行し、AIを使用して乗組員とインタラクションすることで宇宙飛行士を支援し、ISSでの生産性とコミュニケーションを向上させます。
Atlasの進歩を説明してください。,Atlasは、Boston Dynamicsが開発した多様なタスクのためのヒューマノイドロボットで、進んだ機動性と器用さを示しています。,Atlasは進んだ機動性と器用さを示し、パルクール、物の持ち上げ、険しい地形のナビゲートなどの複雑なタスクを実行することができ、ヒューマノイドロボットの未来を示しています。
Moley Robotic Kitchenの主な特徴は何ですか？,Moley Robotic Kitchenは、Moley Roboticsが開発した完全自動化キッチンロボットで、食事を調理できます。,Moley Robotic Kitchenは幅広い食事を自動的に調理でき、ロボットアームを使用して調理器具を扱い、レシピに従い、調理後の片付けも行います。
Jibo 2.0の目的を説明してください。,Jibo 2.0は、NTT Disruptionが開発したインタラクティブなロボットで、コンパニオンや支援を目的としています。,Jibo 2.0は、改良されたAI、より優れたインタラクション機能、コンパニオン、教育、家庭支援のための機能拡張を備えています。
Temiの主な機能は何ですか？,Temiは、Robotemiが開発した家庭やオフィス用のパーソナルアシスタントロボットです。,Temiは家庭やオフィスをナビゲートし、音声コマンドを通じてユーザーとインタラクションし、ビデオ通話やリマインダーの提供などのさまざまなサービスを提供します。
Moxiを説明してください。,Moxiは、Diligent Roboticsが開発した病院支援ロボットで、物流タスクを支援します。,Moxiは病院スタッフを支援し、物資の配達、医療サンプルの輸送、医療環境での効率的なワークフローの確保などの物流タスクを実行します。
Misty IIの能力は何ですか？,Misty IIは、Misty Roboticsが開発したプログラマブルなパーソナルロボットで、教育と開発のために設計されています。,Misty IIは開発者と教育者のために設計されたプログラマブルなロボットで、カスタムアプリケーションとインタラクションを通じて幅広いタスクを実行することができます。
RoBoHon 2の設計を説明してください。,RoBoHon 2は、シャープが開発したRoBoHonの改良版で、AIと機能が向上しています。,RoBoHon 2は改良されたAI、音声認識の向上、新しいインタラクティブ機能を提供し、個人的および職業的使用のための多用途なコンパニオンです。
Nimboはどのようなタスクを実行できますか？,Nimboは、Turing Videoが開発したパトロールと監視用のセキュリティロボットです。,NimboはAIとセンサーを使用してエリアをパトロールし、異常を検出し、セキュリティアラートを提供することで公共および私的空間の安全性を向上させます。
LG CLOiの特徴を説明してください。,LG CLOiは、LGエレクトロニクスが開発したホスピタリティとヘルスケア向けのサービスロボットラインです。,LG CLOiロボットはホスピタリティおよびヘルスケアタスクを支援し、ゲストの案内、アイテムの配達、情報提供などを行い、サービスの効率と顧客体験を向上させます。
Aelous Robotの用途は何ですか？,Aelous Robotは、家庭の雑用と支援を目的として開発されたロボットです。,Aelous Robotは家庭内の雑用を実行し、清掃や整理整頓を行い、高齢者や障害者を支援することで生活の質を向上させます。
Breezy Oneの主な機能は何ですか？,Breezy Oneは、Build With Robotsが開発した広い屋内スペースの消毒用ロボットです。,Breezy Oneは自律的にナビゲートし、先進技術を使用して広い屋内スペースを消毒し、空港や病院などの場所で安全で衛生的な環境を確保します。
Kuriを説明してください。,Kuriは、Mayfield Roboticsが開発した家庭用コンパニオンロボットで、インタラクションと監視を行います。,Kuriは家族とインタラクションし、家を監視し、ビデオクリップを録画することができ、親しみやすいデザインでコンパニオンシップとセキュリティを提供します。
Ballieの能力は何ですか？,Ballieは、Samsungが開発した小型の転がるロボットで、スマートホームのインタラクションを目的としています。,Ballieはスマートホームデバイスとインタラクションし、所有者についていき、さまざまなタスクを支援することで、現代の家庭にとって多用途なアシスタントです。
T-HR3の目的を説明してください。,T-HR3は、トヨタが開発した遠隔操作可能なヒューマノイドロボットで、さまざまなタスクに使用されます。,T-HR3はリモート操作が可能で、人間の器用さと精密さが求められるタスクを実行することができ、危険な環境や遠隔操作の用途に役立ちます。
Walkerの主な特徴は何ですか？,Walkerは、UBTECHが開発した家庭支援用の二足歩行ヒューマノイドロボットです。,Walkerは日常のタスクを支援するように設計されており、物を取ってくる、リマインダーを提供する、スマートホームデバイスを制御するなどを行い、家庭での利便性と快適性を向上させます。
Surena IVの進歩を説明してください。,Surena IVは、テヘラン大学が開発した研究と産業用のヒューマノイドロボットです。,Surena IVは人間とのインタラクション、物体操作、自律ナビゲーションの先進的な能力を示し、研究および産業用途に適した多用途なプラットフォームです。
Astroの主な機能は何ですか？,Astroは、Amazonが開発した家庭用アシスタントロボットで、監視とインタラクションを行います。,Astroは家庭を監視し、家族とインタラクションし、リマインダーやスマートホームコントロールなどのさまざまなサービスを提供し、利便性とセキュリティを向上させます。
Robotis OP3の設計を説明してください。,Robotis OP3は、ROBOTISが開発した研究と教育向けのオープンソースヒューマノイドロボットです。,Robotis OP3は教育および研究用途向けに使用される多用途なヒューマノイドロボットで、複雑なタスクを実行し、さまざまなソフトウェアプラットフォームをサポートします。
Sawyerはどのようなタスクを実行できますか？,Sawyerは、Rethink Roboticsが開発した精密タスク用の協働産業ロボットです。,Sawyerは精密な産業用タスクを実行し、組み立て、テスト、パッケージングなどを行い、さまざまな製造用途に柔軟性とプログラミングの容易さを提供します。
Hanbotの特徴を説明してください。,Hanbotは、Hanson Roboticsが開発した教育とエンターテイメント用の社会的ロボットです。,Hanbotはインタラクティブな機能と表情豊かな行動を通じてユーザーと関わり、家庭や教室での教育およびエンターテイメント用途に適しています。
